From Greg Thompson's file at https://www.aviationweather.gov/docs/metar/stations.txt
KEOX FT_RUCKER_88D 132 US AL 31.46666 -85.46666 
KHEY FT_RUCKER/HANCHE 95 US AL 31.35 -85.65 
KSXS FT_RUCKER/SHELL 120 US AL 31.36666 -85.85 
KGAD GADSDEN_MUNI 169 US AL 33.96666 -86.08333 
KPRN GREENVILLE 137 US AL 31.85 -86.61666 
KJKA GULF_SHORES 5 US AL 30.28333 -87.66666 
K1M4 HALEYVILLE 283 US AL 34.28333 -87.6 
K0J6 HEADLAND 109 US AL 31.36666 -85.31666 
KHSV HUNTSVILLE 190 US AL 34.65 -86.78333 
KM82 HUNTSVILLE/MADIS 231 US AL 34.85 -86.55 
KMDQ HUNTSVILLE/MADIS 221 US AL 34.86666 -86.55 
KHTX HYTOP/88D 536 US AL 34.93333 -86.08333 
KJFX JASPER/WALKER 144 US AL 33.9 -87.31666 
KLOR LOWE_AHP/FT._RUC 92 US AL 31.35 -85.75 
KA08 MARION 64 US AL 32.51666 -87.38333 
KMXX MAXWELL_AFB_88D 122 US AL 32.53333 -85.78333 
KMXF MAXWELL_AFB/MGM 47 US AL 32.38333 -86.36666 
KMOB MOBILE/BATES 67 US AL 30.68333 -88.25 
KBFM MOBILE/BROOKLEY 7 US AL 30.61666 -88.06666 
KMGM MONTGOMERY 64 US AL 32.29999 -86.4 
KMSL MUSCLE_SHOAL 170 US AL 34.75 -87.6 
KOZR OZARK/CAIRNS_AAF 90 US AL 31.28333 -85.71666 
KPLR PELL_CITY 145 US AL 33.56666 -86.25 
KRAM PHI_OIL_PLAT 10 US AL 29.05 -88.08333 
K1A9 PRATTVILLE 65 US AL 32.43333 -86.51666 
KHUA REDSTONE_ARSENAL 200 US AL 34.68333 -86.68333 
K4A6 SCOTTSBORO 191 US AL 34.68333 -86 
KSEM SELMA/CRAIG_FLD 48 US AL 32.35 -86.98333 
KSJI SEMMNES_VOR 63 US AL 30.73333 -88.36666 
KSCD SYLACAUGA 164 US AL 33.16666 -86.3 
KASN TALLADEGA 159 US AL 33.56666 -86.05 
KTOI TROY 120 US AL 31.85 -86.01666 
KTCL TUSCALOOSA 48 US AL 33.21666 -87.61666 
KVOA VIOSCA_KNOLL768 53 US AL 29.23333 -87.78333 
KVUZ VULCAN_VOR 250 US AL 33.66666 -86.9 
KADF ARKADELPHIA 54 US AR 34.1 -93.06666 
KM89 ARKADELPHIA 56 US AR 34.1 -93.06666 
KBVX BATESVILLE 137 US AR 35.73333 -91.65 
KSUZ BENTON 114 US AR 34.58333 -92.48333 
KH00 BENTONVILLE 395 US AR 36.35 -94.21666 
KVBT BENTONVILLE 390 US AR 36.35 -94.21666 
KXNA BENTONVILLE_NW 390 US AR 36.28333 -94.3 
KBYH BLYTHEVILLE 77 US AR 35.96666 -89.95 
KHKA BLYTHEVILLE 78 US AR 35.93333 -89.83333 
KCDH CAMDEN 38 US AR 33.61666 -92.76666 
KCXW CANTRELL 84 US AR 35.01666 -92.55 
KCCA CLINTON_MUNI 152 US AR 35.6 -92.45 
K4M9 CORNING 86 US AR 36.4 -90.65 
KDEQ DE_QUEEN 107 US AR 34.04999 -94.4 
KDQU DEQUEEN_PROFILER 195 US AR 34.1 -94.28333 
KELD EL_DORADO 76 US AR 33.21666 -92.81666 
KFYV FAYETTEVILLE 377 US AR 36.01666 -94.16666 
KFLP FLIPPIN_AWOS 215 US AR 36.28333 -92.58333 
KFSM FORT_SMITH 136 US AR 35.33333 -94.36666 
KHRO HARRISON 417 US AR 36.26666 -93.15 
KHOT HOT_SPRINGS 153 US AR 34.48333 -93.1 
KJBR JONESBORO 79 US AR 35.83333 -90.65 
KLRF LITTLE_ROCK_AFB 85 US AR 34.91666 -92.11666 
KLIT LITTLE_ROCK 77 US AR 34.73333 -92.23333 
KM39 MENA_INTERMTN 329 US AR 34.54999 -94.2 
KMEZ MENA_INTERMTN 320 US AR 34.54999 -94.2 
KLLQ MONTICELLO 86 US AR 33.63333 -91.75 
KBPK MOUNTAIN_HOME 279 US AR 36.36666 -92.46666 
KMWT MOUNT_IDA 220 US AR 34.54999 -93.58333 
KM19 NEWPORT 72 US AR 35.65 -91.16666 
KORK N_LITTLE_ROCK 166 US AR 34.83333 -92.25 
KLZK N._LITTLE_ROCK 173 US AR 34.83333 -92.26666 
KPBF PINE_BLUFF/GRIDR 63 US AR 34.18333 -91.93333 
KRZC RAZORBACK_VOR 443 US AR 36.25 -94.11666 
KROG ROGERS 407 US AR 36.36666 -94.1 
KRUE RUSSELLVILLE 119 US AR 35.25 -93.1 
KSRC SEARCY 80 US AR 35.21666 -91.73333 
KSLG SILOAM_SPRING 361 US AR 36.2 -94.48333 
KSRX SLATINGTON_MTN. 195 US AR 35.28333 -94.36666 
KASG SPRINGDALE_MUNI 410 US AR 36.16666 -94.11666 
KSGT STUTTGART 67 US AR 34.6 -91.56666 
KTXK TEXARKANA 118 US AR 33.45 -93.98333 
KARG WALNUT_RIDGE 82 US AR 36.11666 -90.91666 
KAWM W_MEMPHIS_MUNI 64 US AR 35.13333 -90.23333 
KPHX PHOENIX/SKY_HRBR 338 US AZ 33.43333 -112.01666 
KTUS TUCSON 776 US AZ 32.13333 -110.95 
KA39 AK-CHIN 391 US AZ 32.98333 -111.91666 
KBXK BUCKEYE 303 US AZ 33.41666 -112.68333 
KIFP BULLHEAD_CITY 210 US AZ 35.15 -114.56666 
KCGZ CASA_GRANDA 444 US AZ 32.95 -111.76666 
KIWA CHANDLER/MESA 420 US AZ 33.29999 -111.65 
KCHD CHANDLER 378 US AZ 33.26666 -111.81666 
KFSX COCONINO/FLAGSTF 2261 US AZ 34.56666 -111.2 
KAZC COLORADO_CITY 1476 US AZ 36.96666 -113.01666 
KP08 COOLIDGE_MUNI 477 US AZ 32.93333 -111.43333 
KDMA DAVIS/TUCSON 804 US AZ 32.16666 -110.88333 
KDUG DOUGLAS_BISBEE 1260 US AZ 31.46666 -109.6 
KFLG FLAGSTAFF 2134 US AZ 35.13333 -111.66666 
KFGZ FLAGSTAFF/BELLEM 2192 US AZ 35.23333 -111.81666 
KFHU FORT_HUACHUCA 1424 US AZ 31.58333 -110.35 
KGXF GILA_BEND_AAF 261 US AZ 32.88333 -112.71666 
KGEU GLENDALE 319 US AZ 33.53333 -112.3 
KLGF LAGUNA_AAF 118 US AZ 32.86666 -114.4 
KLUF LUKE_AFB/GLENDAL 333 US AZ 33.53333 -112.36666 
KGYR GOODYEAR_MUNICIP 292 US AZ 33.41666 -112.36666 
KGCN GRAND_CANYON 1993 US AZ 35.95 -112.15 
K40G GRAND_CANYON/VAL 1830 US AZ 35.63333 -112.15 
KIGM KINGMAN 1045 US AZ 35.25 -113.93333 
KHII LAKE_HAVASU_CITY 241 US AZ 34.56666 -114.36666 
KMZJ MARANA 574 US AZ 32.51666 -111.31666 
KFFZ MESA/FALCON_FLD 420 US AZ 33.46666 -111.71666 
KOLS NOGALES 1194 US AZ 31.41666 -110.85 
KPGA PAGE 1310 US AZ 36.91666 -111.45 
KPAN PAYSON 1575 US AZ 34.25 -111.33333 
KPGS PEACH_SPRING 1450 US AZ 35.61666 -113.53333 
KDVT PHOENIX/DEER_VLY 454 US AZ 33.68333 -112.06666 
KPSR PHOENIX/WFO 342 US AZ 33.43333 -112.01666 
KEMX PIMA_COUNTY/88D 1586 US AZ 31.9 -110.63333 
KALK PIONEER_AIRFIELD 1451 US AZ 31.6 -110.43333 
KPRC PRESCOTT 1528 US AZ 34.65 -112.41666 
KDRK PRESCOTTVOR 1524 US AZ 34.7 -112.48333 
KSAD SAFFORD 937 US AZ 32.85 -109.63333 
KSSO SAN_SIMON 1097 US AZ 32.26666 -109.25 
KSDL SCOTTSDALE 438 US AZ 33.61666 -111.91666 
KSEZ SEDONA 1455 US AZ 34.85 -111.78333 
KSOW SHOW_LOW_MUNICIP 1954 US AZ 34.26666 -110 
KJTC SPRINGERVILLE 2148 US AZ 34.13333 -109.31666 
KSJN ST._JOHNS 1747 US AZ 34.51666 -109.38333 
KTYL TAYLOR 1748 US AZ 34.45 -110.11666 
KTBC TUBA_CITY 1538 US AZ 36.11666 -111.26666 
KTWC TUCSON/WFO 752 US AZ 32.23333 -110.95 
KAVQ TUCSON/MARANA 618 US AZ 32.4 -111.21666 
KRYN TUCSON/RYAN_FLD 731 US AZ 32.15 -111.16666 
KCMR WILLIAMS_CLARK 2039 US AZ 35.29999 -112.2 
KRQE WINDOW_ROCK 2056 US AZ 35.65 -109.06666 
KINW WINSLOW 1492 US AZ 35.03333 -110.71666 
KYUX YUMA/88D 53 US AZ 32.5 -114.65 
KYUM YUMA_INTL 63 US AZ 32.63333 -114.58333 
KNOZ YUMA_AUX 78 US AZ 32.53333 -114.5 
KNYL YUMA_MCAS 58 US AZ 32.65 -114.61666 
K1Y7 YUMA_PRVG_GROUN 231 US AZ 32.5 -114.4 
KBZA YUMA_VOR 63 US AZ 32.76666 -114.6 
KGBN GILA_BEND_AAF 262 US AZ 32.86666 -112.71666 
K13A NOGALES 1198 US AZ 31.41666 -110.85 
K0E4 PAYSON 1498 US AZ 34.21666 -111.31666 
KE74 SAFFORD 900 US AZ 32.81666 -109.68333 
KE03 SHOW_LOW 1955 US AZ 34.25 -110.03333 
KT03 TUBA_CITY 1400 US AZ 36.1 -111.38333 
KP34 WINDOW_ROCK 2055 US AZ 35.65 -109.06666 
KNGZ ALAMEDA_NAS 4 US CA 37.76666 -122.31666 
KAAT ALTURAS 1336 US CA 41.48333 -120.56666 
KO00 ALTURAS 1331 US CA 41.48333 -120.56666 
KS11 ALTURAS 1341 US CA 41.5 -120.51666 
KAPV APPLE_VALLEY 934 US CA 34.56666 -117.18333 
KACV ARCATA/EUREKA 63 US CA 40.98333 -124.1 
KAUN AUBURN_MUNI 453 US CA 38.95 -121.08333 
KAVX AVALON 482 US CA 33.4 -118.41666 
KBFL BAKERSFIELD 146 US CA 35.43333 -119.05 
KEHF BAKERSFIELDVOR 151 US CA 35.48333 -119.1 
KBAB BEALE_AFB/MARYSV 31 US CA 39.13333 -121.43333 
KBBX BEALE/ORO_DAM 53 US CA 39.5 -121.63333 
KBUO BEAUMONT 692 US CA 33.91666 -116.96666 
KBYS BICYCLE_LAKE 717 US CA 35.28333 -116.63333 
KL35 BIG_BEAR_CITY 2062 US CA 34.26666 -116.85 
KBIH BISHOP 1252 US CA 37.36666 -118.35 
KBLH BLYTHE 119 US CA 33.61666 -114.71666 
K92Q BODEGA_BAY 3 US CA 38.31666 -123.05 
KL08 BORREGO_SPRINGS 156 US CA 33.26666 -116.31666 
KO57 BRIDGEPORT 1973 US CA 38.26666 -119.21666 
KBAN BRIDGEPORTMCMWT 2067 US CA 38.35 -119.51666 
KBUR BURBANK 221 US CA 34.2 -118.36666 
KBNY BURNEY 957 US CA 40.86666 -121.66666 
KC83 BYRON 16 US CA 37.83333 -121.61666 
KCXL CALEXICO_INTL 1 US CA 32.66666 -115.5 
KCMA CAMARILLO 20 US CA 34.21666 -119.1 
KCZZ CAMPO 805 US CA 32.63333 -116.46666 
KNFG CAMP_PENDLETON 21 US CA 33.29999 -117.35 
KSYL CAMP_ROBERTS 220 US CA 35.75 -120.7 
KCRQ CARLSBAD 96 US CA 33.13333 -117.28333 
KO59 CEDARVILLE 1409 US CA 41.54999 -120.16666 
KO05 CHESTER 1380 US CA 40.28333 -121.23333 
KCIC CHICO_MUNICIPAL 72 US CA 39.78333 -121.85 
KNID CHINA_LAKE_NAF 682 US CA 35.68333 -117.68333 
KCNO CHINO 191 US CA 33.98333 -117.61666 
KO22 COLUMBIA 637 US CA 38.03333 -120.41666 
KCCR CONCORD 6 US CA 38 -122.05 
KAJO CORONA_MUNI 161 US CA 33.9 -117.6 
KSNA COSTA_MESA 14 US CA 33.66666 -117.86666 
KCEC CRESCENT_CITY 17 US CA 41.78333 -124.23333 
KNRC CROWS_LANDING 50 US CA 37.4 -121.1 
KDAG DAGGETT 584 US CA 34.85 -116.78333 
KDWA DAVIS_YOLO_CNTY 28 US CA 38.58333 -121.85 
KEDU DAVIS 20 US CA 38.53333 -121.78333 
KDLO DELANO 97 US CA 35.75 -119.23333 
KEYX EDWARDS_AFB/88D 840 US CA 35.1 -117.56666 
KEDW EDWARDS_AFB 698 US CA 34.9 -117.86666 
K9L2 EDWARDS_N-AUX 697 US CA 34.98333 -117.86666 
KNJK EL_CENTRO_NAF -15 US CA 32.81666 -115.66666 
KEMT EL_MONTE 84 US CA 34.08333 -118.03333 
KNZJ EL_TORO_MCAS 117 US CA 33.66666 -117.71666 
KBLU EMIGRANT_GAP 1605 US CA 39.28333 -120.7 
KEKA EUREKA/MURRAY 13 US CA 40.79999 -124.1 
KL18 FALLBROOK_AIRPAR 215 US CA 33.35 -117.25 
KOAR FORT_ORD/FRITZSC 41 US CA 36.66666 -121.76666 
KFOT FORTUNA 118 US CA 40.54999 -124.13333 
KFCH FRESNO_CHANDLER 85 US CA 36.71666 -119.81666 
KFAT FRESNO 102 US CA 36.78333 -119.71666 
KCZQ FRESNOVOR 104 US CA 36.88333 -119.81666 
KFUL FULLERTON 23 US CA 33.86666 -117.98333 
KGOO GRASS_VALLEY 950 US CA 39.21666 -121 
KHAF HALF_MOON_BAY 11 US CA 37.51666 -122.5 
KHJO HANFORD 73 US CA 36.31666 -119.61666 
KO18 HANFORD 74 US CA 36.31666 -119.63333 
KHNX HANFORD/SAN_JOAQ 74 US CA 36.31666 -119.63333 
KHHR HAWTHORNE 21 US CA 33.91666 -118.33333 
KHWD HAYWARD 9 US CA 37.66666 -122.11666 
KHES HEALDSBURG 85 US CA 38.65 -122.9 
KHEC HECTORVOR 617 US CA 34.79999 -116.46666 
KHMT HEMET 462 US CA 33.73333 -117.01666 
