From Greg Thompson's file at https://www.aviationweather.gov/docs/metar/stations.txt
CXZV SEPT_ILES 43 CA QC 50.21666 -66.25 
CXSH SHAWINIGAN 106 CA QC 46.55 -72.73333 
CYSC SHERBROOKE 236 CA QC 45.43333 -71.68333 
CWBZ ST_ANICET 49 CA QC 45.11666 -74.28333 
CMSC ST_CELESTIN 55 CA QC 46.2 -72.45 
CMYT ST_CHRYSOSTOME 55 CA QC 45.13333 -73.76666 
CWIT ST_CLOTHILDE_A 53 CA QC 45.16666 -73.66666 
CMCT ST_CONSTANT 39 CA QC 45.33333 -73.58333 
CWVQ STE_ANNE_DE_BELL 38 CA QC 45.41666 -73.91666 
CWJB ST_FOY/U_LAVAL 90 CA QC 46.78333 -71.28333 
CWIU ST_GEDEON 600 CA QC 48.48333 -71.78333 
CWIA ST_HENRI 103 CA QC 48.65 -71.84999 
CWJT ST_JOVITE_AUTOB 236 CA QC 46.06666 -74.56666 
CMSX ST_M-D-NAPIERVIL 59 CA QC 45.18333 -73.61666 
CMPL ST_POLYCARPE 56 CA QC 45.3 -74.3 
CMSB ST_SABINE 49 CA QC 45.21666 -73.01666 
CYTQ TASIUJAQ_A 14 CA QC 58.66666 -69.95 
CWBA TEMISCAMINQUE 181 CA QC 46.71666 -79.09999 
CWTY TROIS_RIVIERES 8 CA QC 46.35 -72.51666 
CYRQ TROIS_RIVIERES 58 CA QC 46.35 -72.68333 
CYMU UMIUJAQ 69 CA QC 56.53333 -76.51666 
CYOY VALCARTIER_AIRPO 167 CA QC 46.88333 -71.5 
CWQG VALCARTIER 168 CA QC 46.88333 -71.5 
CXAM VAL_D_IRENE_RADR 583 CA QC 48.48333 -67.59999 
CYVO VAL_D'OR_AIRPORT 329 CA QC 48.06666 -77.76666 
CWHM VARENNES 20 CA QC 45.71666 -73.36666 
CWVY VILLEROY_RADAR 108 CA QC 46.45 -71.91666 
CYKQ WASKAGANISH_AIRP 28 CA QC 51.46666 -78.75 
CYNC WEMINDJI 13 CA QC 53.01666 -78.81666 
CWJI ASSINIBOIA_ARPT 724 CA SK 49.71666 -105.93333 
CXBK BRATTS_LAKE 585 CA SK 50.2 -104.7 
CWXU BROADVIEW_CS 600 CA SK 50.38333 -102.68333 
CWIK BROADVIEW 597 CA SK 50.36666 -102.58333 
CWVT BUFFALO_NARROWS 431 CA SK 55.83333 -108.41666 
CYVT BUFFALO_NARROWS 438 CA SK 55.83333 -108.41666 
CZFD CANADA_ARTCC 131 CA SK 59.31666 -107.18333 
CWLZ CANDLE_LAKE 503 CA SK 53.73333 -105.26666 
CXXX CLUFF_LAKE 339 CA SK 58.38333 -109.51666 
CWAQ CORONACH_SPC 761 CA SK 49.05 -105.48333 
CWVP CYPRESS_HILLS_PA 1269 CA SK 49.63333 -109.51666 
CWEH EASTEND_CYPRESS 1077 CA SK 49.43333 -108.98333 
CWOK ELBOW_MARS 595 CA SK 51.11666 -106.56666 
CYEN ESTEVAN_AIRPORT 580 CA SK 49.21666 -102.96666 
CYHB HUDSON_BAY 358 CA SK 52.81666 -102.31666 
CWBD INDIAN_HEAD_CDA 582 CA SK 50.55 -103.65 
CWHN JIMMY_LAKE 635 CA SK 54.9 -109.96666 
CYKJ KEY_LAKE 519 CA SK 57.25 -105.61666 
CYKY KINDERSLEY 692 CA SK 51.51666 -109.16666 
CXOX LA_RONGE_AIRPORT 381 CA SK 55.15 -105.26666 
CYVC LA_RONGE_AIRPORT 378 CA SK 55.15 -105.26666 
CWJX LEADER_ARPT_AUT 671 CA SK 50.88333 -109.5 
CWLE LUCKY_LAKE_AUTO 666 CA SK 50.95 -107.15 
CWMQ MAPLECREEK_AUTO 767 CA SK 49.9 -109.46666 
CYLJ MEADOW_LAKE_AIRP 481 CA SK 54.11666 -108.51666 
CWFF MELFORT_AUTOB 482 CA SK 52.81666 -104.6 
CYMJ MOOSE_JAW_CAN_M 578 CA SK 50.31666 -105.55 
CZMJ MOOSE_JAW 571 CA SK 50.33333 -105.53333 
CYBU NIPAWIN_AIRPORT 369 CA SK 53.31666 -104 
CWBU NIPAWIN 369 CA SK 53.33333 -104.01666 
CYQW NORTH_BATTLEFORD 545 CA SK 52.76666 -108.25 
CYPA PRINCE_ALBERT_AR 428 CA SK 53.21666 -105.66666 
CYQR REGINA_AIRPORT 576 CA SK 50.43333 -104.66666 
CWDJ REGINA_UNIVERSIT 576 CA SK 50.4 -104.58333 
CWKO ROCKGLEN_MARS 914 CA SK 49.16666 -105.96666 
CWRJ ROSETOWN_EAST_A 586 CA SK 51.56666 -107.91666 
CYXE SASKATOON_AIRPOR 504 CA SK 52.16666 -106.7 
CWJH SOUTHEND_AUTOB 345 CA SK 56.31666 -103.26666 
CWSR SPIRITWOOD_WEST 589 CA SK 53.36666 -107.55 
CYSF STONY_RAPIDS_ARP 238 CA SK 59.25 -105.83333 
CYYN SWIFT_CURREN 814 CA SK 50.28333 -107.68333 
CWDC URANIUM_CITYMAR 311 CA SK 59.56666 -108.48333 
CWVN VAL_MARIE_SEAUT 792 CA SK 49.06666 -107.58333 
CYDR WALDRON_VOR 615 CA SK 50.36666 -102.53333 
CWIW WATROUS_EAST_AU 524 CA SK 51.66666 -105.4 
CWWF WEYBURN_AUTOB 583 CA SK 49.7 -103.8 
CWOY WYNYARD_AUT 557 CA SK 51.76666 -104.2 
CYQV YORKTON_AIRPORT 493 CA SK 51.26666 -102.46666 
CYXQ BEAVER_CREEK_ARP 663 CA YT 62.41666 -140.86666 
CYDB BURWASH 807 CA YT 61.36666 -139.01666 
CXCK CARMACKS 526 CA YT 62.11666 -136.19999 
CYDA DAWSON_AIRPORT 338 CA YT 64.03333 -139.11666 
CZFA FARO_APT_ARTCC 702 CA YT 62.2 -133.38333 
CWUM FARO_MARS 717 CA YT 62.21666 -133.33333 
CWHT HAINES_JUNCTION 601 CA YT 60.76666 -137.58333 
CWJN HERSCHEL_ISLAND 1 CA YT 69.56666 -138.91666 
CWKM KOMAKUK_BEACH 8 CA YT 69.59999 -140.16666 
CWZR MARGARET_LAKE 543 CA YT 68.8 -140.85 
CYMA MAYO_AIRPORT 519 CA YT 63.61666 -135.86666 
CYOC OLD_CROW_AIRPORT 253 CA YT 67.56666 -139.83333 
CYUA SHINGLE_POINT_AR 25 CA YT 68.91666 -137.23333 
CWVH STORM_HILLS 246 CA YT 68.9 -133.93333 
CYZW TESLIN_ARPT_AUT 700 CA YT 60.16666 -132.75 
CWZW TESLIN_MARS 683 CA YT 60.16666 -132.73333 
CYQH WATSON_LAKE_AIRP 692 CA YT 60.11666 -128.81666 
CXQH WATSON_LAKE 690 CA YT 60.11666 -128.81666 
CYXY WHITEHORSE_AIRPO 677 CA YT 60.71666 -135.06666 
MMAA ACAPULCO/G._ALVA 5 MX  16.75 -99.75 
MMAS AGUASCALIENTES 1866 MX  21.7 -102.31666 
MMBT BAHIAS_DE_HUATUL 137 MX  15.76666 -96.26666 
MMSL CABO_SAN_LUCAS 205 MX  22.95 -109.93333 
MMCP CAMPECHE/IGNACIO 9 MX  19.81666 -90.5 
MMUN CANCUN 13 MX  21.03333 -86.85 
MMCM CHETUMAL 10 MX  18.5 -88.33333 
MMCT CHICHEN_ITZA_YU 29 MX  20.63333 -88.45 
MMCU CHIHUAHUA_INTL_A 1349 MX  28.7 -105.96666 
MMCE CIUDAD_DEL_CARM 5 MX  18.64999 -91.8 
MMCS CIUDAD_JUAREZ_IN 1194 MX  31.63333 -106.41666 
MMCN CIUDAD_OBREGON 57 MX  27.4 -109.83333 
MMCV CIUDAD_VICTORIA 230 MX  23.71666 -98.96666 
MMIA COLIMA 744 MX  19.26666 -103.56666 
MMCZ COZUMEL_CIV/MIL 7 MX  20.51666 -86.91666 
MMCB CUERNAVACA 1281 MX  18.83333 -99.26666 
MMCL CULIACAN_CITY 35 MX  24.76666 -107.46666 
MMLO DEL_BAJIO/LEON 1805 MX  21 -101.46666 
MMDO DURANGO_AIRPORT 1863 MX  24.11666 -104.51666 
MMES ENSENADAN 16 MX  31.8 -116.6 
MMGL GUADALAJARA 1531 MX  20.51666 -103.31666 
MMZA GUADALUPE/ZACATE 2265 MX  22.75 -102.5 
MMGM GUAYMAS_INTL_ARP 13 MX  27.95 -110.91666 
MMHO HERMOSILLO_INTL 186 MX  29.08333 -111.05 
MMGD ISLA_GUADALUPE 25 MX  29.16666 -118.31666 
MMSC ISLA_SOCORRO 35 MX  18.71666 -110.95 
MMZH IXTAPA_ZIHUATANE 9 MX  17.6 -101.46666 
MMIT IXTEPEC_OX 27 MX  16.45 -95.08333 
MMLP LA_PAZ_INTL_AIRP 16 MX  24.06666 -110.36666 
MMLT LORETO 4 MX  25.98333 -111.33333 
MMLM LOS_MOCHIS_AIRPO 6 MX  25.68333 -109.08333 
MMZO MANZANILLO_INTL 11 MX  19.13333 -104.56666 
MMMA MATAMOROS_INTL 7 MX  25.76666 -97.51666 
MMMZ MAZATLAN/G._BUEL 7 MX  23.16666 -106.26666 
MMMD MERIDA_INTL_ARPT 10 MX  20.95 -89.65 
MMML MEXICALI_INTL_AR 21 MX  32.61666 -115.23333 
MMMX MEXICO_CITY/LICE 2224 MX  19.43333 -99.08333 
MMMT MINATITLAN 15 MX  18.1 -94.56666 
MMMV MONCLOVA 567 MX  26.95 -101.46666 
MMMY MONTERREY/GEN_MA 382 MX  25.76666 -100.1 
MMAN MONTERREY_INTL_A 447 MX  25.86666 -100.23333 
MMMM MORELIA_NEW 1840 MX  19.85 -101.03333 
MMNG NOGALES 1222 MX  31.21666 -110.96666 
MMNL NUEVO_LAREDO_INT 146 MX  27.43333 -99.56666 
MMOX OAXACA/XOXOCOTLA 1528 MX  17 -96.71666 
MMPQ PALENQUE 48 MX  17.53333 -92.01666 
MMPG PIEDRAS_NEGRAS 224 MX  28.61666 -100.53333 
MMPA POCA_RICA-TAJIN 153 MX  20.6 -97.46666 
MMPB PUEBLA 2250 MX  19.16666 -98.36666 
MMPS PUERTO_ESCONDIDO 65 MX  15.86666 -97.08333 
MMPE PUERTO_PENASCO 9 MX  31.35 -113.51666 
MMPR PUERTO_VALLARTA 6 MX  20.66666 -105.25 
MMQT QUERETARO 1909 MX  20.61666 -100.18333 
MMRX REYNOSA_INTL_ARP 45 MX  26.01666 -98.21666 
MMIO SALTILLO 1430 MX  25.55 -100.93333 
MMSD SAN_JOSE_DEL_CAB 107 MX  23.15 -109.71666 
MMSP SAN_LUIS_POTOSI 1841 MX  22.25 -100.93333 
MMSM SANTA_LUCIAAFB 2250 MX  19.75 -99.01666 
MMTM TAMPICO/GEN_FJ_M 21 MX  22.28333 -97.86666 
MMTP TAPACHULA 27 MX  14.78333 -92.36666 
MMEP TEPIC 921 MX  21.41666 -104.85 
MMTJ TIJUANA_INTL_ARP 150 MX  32.53333 -116.96666 
MMTO TOLUCA/JOSE_MARI 2582 MX  19.35 -99.56666 
MMTC TORREON_AIRPORT 1128 MX  25.56666 -103.4 
MMTL TULANCINGO 2181 MX  20.06666 -98.36666 
MMTB TUXTLA_GUTIERREZ 583 MX  16.73333 -93.16666 
MMTG TUXTLA_GUTIERREZ 463 MX  16.56666 -93.03333 
MMPN URUAPAN/GEN_RAYO 1602 MX  19.38333 -102.03333 
MMVR VERACRUZ 26 MX  19.14999 -96.18333 
MMVA VILLAHERMOSA 13 MX  18 -92.81666 
MMZC ZACATECAS_ARPT 2175 MX  22.9 -102.68333 
MMZP ZAPOPAN 1633 MX  20.75 -103.46666 
PGUA MARIANA/ANDERSEN 159 GU GU 13.56666 144.91666 
PGWT PEIPEINIMARU/TIN 84 GU GU 14.98333 145.61666 
PGAC TAGUAC 111 GU GU 13.55 144.81666 
PAGP PAGAN/N._MARIANA 2 GU UM 18 145.41666 
PGNT SABANETTAN/TINIA 80 GU UM 15 145.61666 
PGTI WEST_TINIAN 82 GU UM 15 145.61666 
PKMA ENIWETOK_AUX_AF 5 US UM 11.33333 162.33333 
PLFA FANNING_ISLAND 5 US UM 3.85 -159.36666 
PLUR JARVIS_ISLAND_A 2 US UM -0.36666 -160.01666 
PJON JOHNSTON_ISLAND 5 US UM 16.73333 -169.51666 
PLPA PALMYRA/COOPERA 2 US UM 5.86666 -162.05 
PWAK WAKE_ISLAND_AIRF 7 UM UM 19.28333 166.61666 
PKWA KWAJALEIN/BUCHOL 6 MH MH 8.71666 167.71666 
PKMR MAJURO_ATOLL/NWS 7 MH MH 7.08333 171.38333 
PKMJ MAJURO_WSO_AIRPO 2 MH MH 7.06666 171.26666 
MLIP MILI/MARSHALL_IS 0 US MH 6 172 
UJAP UJAE_ATOLL/MARSH 2 RU  8.91666 165.75 
PTKR KOROR_PALAU/NWS 6 PW  7.33333 134.48333 
PTTK KOSRAE_CAROLINES 2 FM  5.33333 162.93333 
PTSA KOSRAE_ISLAND 3 FM  5.35 162.94999 
PTPN POHNPEI_AIRPORT 3 FM  6.98333 158.21666 
PTTP POHNPEI_NWS 36 FM  6.96666 158.21666 
PGRO ROTA_INTL_AIRP 181 MH  14.18333 145.25 
PGSN SAIPAN/KOBLER 65 MH  15.11666 145.71666 
PTKK WENO_IS/CHUUK 3 FM  7.46666 151.85 
PTYA YAP_ISLAND 4 FM  9.48333 138.08333 
TJIG FERN_LUIS_RIBAS 3 PR  18.45 -66.09999 
TJMZ MAYAGUEZ/EUGENIO 6 PR  18.26666 -67.15 
TJPS PONCE/MERCEDITA 12 PR  18.01666 -66.56666 
TJNR ROOSEVELT_RD_NAS 7 PR  18.25 -65.63333 
TJRV ROOSEVELT_RD_NAS 11 PR  18.25 -65.63333 
TJUA SAN_JUAN/CAYEY 852 PR  18.11666 -66.08333 
TJSJ SAN_JUAN/WFO 3 PR  18.43333 -66.01666 
MYAF ANDROS_TOWN 2 BS  24.68333 -77.78333 
MYSM COCKBURN/SAN_SAL 5 BS  24.05 -74.51666 
MYEF EXUMA_INTL 3 BS  23.56666 -75.88333 
MYGF FREEPORT_INTL_A 2 BS  26.55 -78.7 
MYEG GEORGE_TOWN/EXU 3 BS  23.5 -75.76666 
MYEM GOVERNORS_HARBOR 8 BS  25.28333 -76.33333 
MYGM GRAND_BAHAMA_AUX 2 BS  26.66666 -78.31666 
MYAK KEMPS_BAY/ANDR 4 BS  24.06666 -77.53333 
MYIG MATTHEW_TOWN/INA 2 BS  20.96666 -73.66666 
MYNN NASSAU_INTL 5 BS  25.03333 -77.46666 
MYCB NEW_BIGHT 2 BS  24.31666 -75.45 
MYEH N_ELEUTHERA 3 BS  25.46666 -76.68333 
MBPV PROVIDENCIALES 7 TC  21.76666 -72.26666 
MYER ROCK_SOUNDPRIVA 3 BS  24.88333 -76.16666 
MBGT TURKS_ISLAND 6 TC  21.43333 -71.15 
MBJT TURKS/MCCARTNEY 4 BS  21.43333 -71.15 
MYGW WEST_END_INTL_A 4 BS  26.7 -78.96666 
MUBY BAYAMO 64 CU  20.39999 -76.61666 
MUCM CAMAGUEY/IGANCI 125 CU  21.41666 -77.84999 
MUCC CANAGUA 7 CU  22.46666 -78.33333 
MUCL CAYO_LARGO_D_SUR 5 CU  21.63333 -81.55 
MUCF CIENFUEGOSCIV/M 35 CU  22.15 -80.4 
MUCO COLON 35 CU  22.66666 -80.91666 
MUGM GUANTANAMO_BAY 21 US  19.89999 -75.2 
MUGT GUANTANAMO 8 CU  20.08333 -75.15 
MUHA HAVANA/JOSE_MAR 61 CU  22.98333 -82.41666 
MUHG HOLGUIN_CIV/MIL 100 CU  20.78333 -76.31666 
MUVT LAS_TUMAS 99 CU  20.98333 -76.95 
MUMZ MANZANILLO 32 CU  20.28333 -77.09999 
MUMO MOA_MILITARY 5 CU  20.64999 -74.91666 
MUNG NUEVA_GERONA_M 23 CU  21.83333 -82.78333 
MUPR PINAR_DEL_RIO_NO 37 CU  22.41666 -83.66666 
MUPB PLAYA_BARACOA 31 CU  23.03333 -82.58333 
MUSA SAN_ANTONIO_BANO 50 CU  22.86666 -82.51666 
MUSJ SAN_JULIANMIL/C 30 CU  22.1 -84.15 
MUSC SANTA_CLARA 97 CU  22.5 -79.91666 
MUSL SANTA_LUCIA 24 CU  22.66666 -83.96666 
MUCU SANTIAGO_DE_CUB 70 CU  19.96666 -75.83333 
MUSN SIGUANEA 11 CU  21.65 -82.95 
MUTD TRINIDAD 54 CU  21.76666 -79.96666 
MUVR VARADERO 65 CU  23.03333 -81.43333 
MUCA VENEZUELA/CIEGO 101 CU  22.03333 -78.78333 
MKJS SANGSTER/MONTEG 3 JM  18.5 -77.91666 
MWCG GRAND_CAYMAN 6 KY  19.25 -81.41666 
MWCR GRAND_CAYMAN/OWN 4 KY  19.3 -81.36666 
MTCH CAP-HAITIEN 3 HT  19.75 -72.18333 
MTCA LES_CAYES 2 HT  18.16666 -73.71666 
MTPP PORT-AU-PRINCE 36 HT  18.56666 -72.3 
MDBH BARAHONA 7 DO  18.25 -71.11666 
MDSD CAUCEDO/DE_LAS 18 DO  18.41666 -69.66666 
MDJB DR_BALAGUER_INTL 24 DO  18.56666 -69.98333 
MDCY EL_CATEY_INTL 4 DO  19.26666 -69.73333 
MDHE HERRERA 58 DO  18.46666 -69.96666 
MDLR LA_ROMANA_INT._A 66 DO  18.45 -68.91666 
MDMC MONTE_CRISTI 2 DO  19.86666 -71.65 
MDPP PUERTO_PLATA_IN 9 DO  19.75 -70.56666 
MDPC PUNTA_CANA 10 DO  18.56666 -68.36666 
MDST SANTIAGO_INTL_A 175 DO  19.39999 -70.59999 
TSDM SANTO_DOMINGO 14 DO  18.46666 -69.88333 
TDPD MELVILLE_HALL_AR 13 DM  15.55 -61.3 
TDPR ROSEAU 72 DM  15.3 -61.38333 
KSTT CHARLOTTE_AMALIE 15 VI  18.33333 -64.98333 
TISX CHRISTIANSTED 16 VI  17.7 -64.8 
TNCC HATO_AIR_CURACAO 10 CW  12.2 -68.96666 
TNCM ST_MAARTEN_JULIA 9 SX  18.05 -63.11666 
TIST ST_THOMAS_KING 5 VI  18.33333 -64.98333 
TQPF WALL_BLAKE 33 AI  18.2 -63.05 
TVSA ARGYLE 3 VC  13.15 -61.15 
TVSV ARNOS_VALE/ST_V 7 VC  13.13333 -61.2 
TRPM BLACKBURNE/PLYMO 12 AG  16.75 -62.16666 
TNCB BONAIRE/FLAMINGO 6 BQ  12.13333 -68.28333 
TVSC CANOUAN_AIRPORT 2 VC  12.7 -61.35 
TKPN CHARLESTOWN/NEWC 12 KN  17.2 -62.58333 
TAPA COOLIDGE/ANTIGUA 15 AG  17.13333 -61.78333 
TNCE FDR_ARPT/ORANJES 38 BQ  17.48333 -62.96666 
TKPK GOLDEN_ROCKS/NEV 62 KN  17.3 -62.71666 
TFFJ GUSTAVIA/ST.BART 290 GP  17.89999 -62.85 
TLPL HEWANORRA_INTL 13 LC  13.75 -60.95 
TVSB J_F_MITCHELL_ARP 4 VC  12.98333 -61.26666 
TFFF LE_LAMENTIN/MART 3 MQ  14.6 -61 
TFFR LE_RAIZET 6 GP  16.26666 -61.53333 
TVSM MUSTIQUE 10 VC  12.88333 -61.18333 
TNCA QUEEN_BEATRIX 7 AW  12.5 -70 
TVSU UNION_ISLAND 15 VC  12.6 -61.41666 
TLPC VIGIE/ST_LUCIA 8 LC  14.01666 -61 
TBPB GRANTLEY_ADAMS 55 BB  13.06666 -59.48333 
TGPY POINT_SALINES 12 GD  12 -61.78333 
TTCP CROWN_PT/SCARBOR 13 TT  11.15 -60.85 
TTPP PIARCO_INT_AIRPT 11 TT  10.58333 -61.35 
TTPS PORT_OF_SPAIN 2 TT  10.65 -61.51666 
MGCP CHAMPERICO 6 GT  14.3 -91.9 
MGCB COBAN 1323 GT  15.48333 -90.41666 
MGES ESQUIPULAS 948 GT  14.56666 -89.31666 
MGFL FLORES/SANTA_EL 115 GT  16.91666 -89.88333 
MGGT GUATEMALA/LA_AU 1497 GT  14.58333 -90.53333 
MGHT HUEHUETENANGO 1875 GT  15.31666 -91.5 
MGMM MUNDO_MAYA 105 GT  16.89999 -89.86666 
MGPP POPTUN 500 GT  16.31666 -89.41666 
MGPB PUERTO_BARRIOS 6 GT  15.73333 -88.58333 
MGQZ QUEZALTENANGO 2378 GT  14.86666 -91.5 
MGRT RETALHULEU_MIL/ 209 GT  14.53333 -91.7 
MGSJ SAN_JOSE_CIV/M 7 GT  13.93333 -90.83333 
MGTK TIKAL_INTL 128 GT  16.91666 -89.86666 
MGZA ZACAPA 195 GT  14.96666 -89.53333 
MHCA CATACAMAS 386 HN  14.86666 -85.78333 
MHGS CELAQUE 913 HN  14.56666 -88.6 
MHCH CHOLUTECA 58 HN  13.31666 -87.15 
MHCL COLON 378 HN  14.16666 -88.03333 
MHNJ ISLA_DE_GUANAJA 13 HN  16.45 -85.9 
MHIC ISLAS_DEL_CISNE 11 HN  17.38333 -83.91666 
MHLC LA_CEIBA/GOLOSO 13 HN  15.75 -86.85 
MHLE LA_ESPERANZA 1688 HN  14.28333 -88.16666 
MHLM LA_MESA/PEDRO_S 32 HN  15.45 -87.93333 
MHML MONTE_LIBANO 14 HN  13.18333 -87.18333 
MHNO NUEVA_OCOTEPEQUE 790 HN  14.43333 -89.18333 
MHPL PUERTO_LEMPIRA 13 HN  15.26666 -83.78333 
MHRO ROATAN 6 HN  16.31666 -86.53333 
MHSR SANTA_ROSA_DE_C 1087 HN  14.78333 -88.78333 
MHSC SOTO_CANO_AB 628 HN  14.36666 -87.61666 
MHTG TEGUCIGALPA/TON 1001 HN  14.06666 -87.21666 
TRPA TEGUCIGALPA 1004 HN  14.05 -87.21666 
MHTE TELA 7 HN  15.78333 -87.48333 
MHTR TRUJILLO 3 HN  15.93333 -85.93333 
MHYR YORO 682 HN  15.13333 -87.13333 
MSLP EL_SALVADOR_INT 25 SV  13.43333 -89.05 
MSLU LA_UNION 5 SV  13.33333 -87.88333 
MSSS ILOPANGO/S.SALV 611 SV  13.7 -89.11666 
MSSA SANTA_ANA 656 SV  13.96666 -89.53333 
MSSM SAN_MIGUEL 92 SV  13.43333 -88.11666 
MNCH CHINANDEGA 70 NI  12.63333 -87.13333 
MNJG JINOTEGA 981 NI  13.13333 -86.01666 
MNJU JUIGALPA 85 NI  12.08333 -85.36666 
MNLN LEON/FANOR_URROZ 100 NI  12.41666 -86.9 
MNMG MANAGUA/AUGUSTO 59 NI  12.15 -86.16666 
MNPC PUERTO_CABEZAS 10 NI  14.05 -83.38333 
MNRS RIVAS 53 NI  11.41666 -85.81666 
MROC JUAN_SANTAMARIA 900 CR  10 -84.21666 
MRLB LIBERIA/TOMAS_G 79 CR  10.6 -85.55 
MRLM LIMON_INTL_AIRP 2 CR  9.96666 -83.03333 
MRNC NICOYA 120 CR  10.15 -85.45 
MRPM PALMAR_SUR 15 CR  8.93333 -83.46666 
MRPT PUNTARENAS 3 CR  9.96666 -84.81666 
MRPV TOBIAS_BOLANO 998 CR  9.94999 -84.15 
MPNU AUGUSTO_VERGARA 21 PA  7.81666 -80.26666 
MPBO BOCAS_DEL_TORO 2 PA  9.35 -82.25 
MPCH CAPTAIN_MANUEL_N 6 PA  9.44999 -82.51666 
MPEJ COLON 10 PA  9.35 -79.86666 
MPDA DAVID/ENRIQUE_M 15 PA  8.4 -82.43333 
MPVR EL_PORVENIR 2 PA  9.56666 -78.96666 
MPCF ENRIQUE_ADOLFO_J 8 PA  9.33333 -79.86666 
MPFS FT_SHERMAN_ROCO 52 PA  9.31666 -79.96666 
MPHO HOWARD_AFB 13 PA  8.91666 -79.59999 
MPJE JAQUE 9 PA  7.51666 -78.15 
MPLP LA_PALMA 10 PA  8.4 -78.11666 
MPMG MARCOS_GELABERT 6 PA  8.98333 -79.56666 
MPPA PANAMA_PACIFICO 1 PA  8.91666 -79.59999 
MPOA PUERTO_OBALDIA 1 PA  8.66666 -77.41666 
MPRH RIO_HATO 31 PA  8.36666 -80.11666 
MPSA SANTIAGO 83 PA  8.06666 -80.93333 
MPSM SCARLETT_MARTINE 36 PA  8.38333 -80.13333 
MPTO TOCUMEN 7 PA  9.05 -79.38333 
SKUC ARAUCA/SANTIAGO 127 CO  7.06666 -70.73333 
SKAR ARMENIA/EL_EDEN 1214 CO  4.45 -75.76666 
SKBS BAHIA_SOLANO/JOS 24 CO  6.16666 -77.4 
SKEJ BARRANCABERMEJA 123 CO  7.01666 -73.8 
SKBQ BARRANQUILLA/ERN 23 CO  10.86666 -74.76666 
SKBO BOGOTA/ELDORADO 2547 CO  4.7 -74.15 
SKBG BUCARAMANGO/PALO 1187 CO  7.13333 -73.18333 
SKBU BUENAVENTURA 15 CO  3.86666 -77.06666 
SKCL CALI/ALFONSO_BON 967 CO  3.53333 -76.36666 
SKCG CARTAGENA/RAFAEL 6 CO  10.43333 -75.51666 
SKCC CUCUTA/CAMILO_DA 308 CO  7.91666 -72.51666 
SKBC EL_BANCO/LAS_FLO 34 CO  9.06666 -73.96666 
SKFL FLORENCIA/CAPITO 244 CO  1.6 -75.51666 
MCGV GAVIOTAS 167 CO  4.53333 -70.91666 
SKGI GIRARDOT/SANTIAG 282 CO  4.26666 -74.78333 
SKGP GUAPI 2 CO  2.56666 -77.9 
SKIB IBAGUE/PERALES 899 CO  4.41666 -75.11666 
SKIP IPIALES/SAN_LUIS 2964 CO  0.85 -77.66666 
SKLT LETICIA/VASQUEZ 78 CO  -4.2 -69.93333 
SKMZ MANIZALES_LNUBIA 2075 CO  5.03333 -75.46666 
SKQU MARIQUITA 467 CO  5.21666 -74.86666 
SKMD MEDELLIN/OLAYA_H 1491 CO  6.21666 -75.58333 
SKMU MITU 207 CO  1.11666 -70.03333 
SKMR MONTERIA/LOS_GAR 12 CO  8.81666 -75.83333 
SKNV NEIVA/LA_MANGUIT 449 CO  2.93333 -75.28333 
SKOT OTU 630 CO  7 -74.71666 
SKPS PASTO/ANTONIO_NA 1798 CO  1.4 -77.28333 
SKPE PEREIRA/MATECANA 1341 CO  4.81666 -75.73333 
SKPI PITALITO 1320 CO  1.86666 -76.03333 
SKPP POPAYAN/GUILLERM 1730 CO  2.46666 -76.58333 
SKPV PROVIDENCIA_ISLA 7 CO  13.36666 -81.34999 
SKAS PUERTO_ASIS 251 CO  0.5 -76.5 
SKPC PUERTO_CARRENO 51 CO  6.18333 -67.5 
SKUI QUIBDO/EL_CARANO 55 CO  5.68333 -76.63333 
SKRH RIOHACHA/ALMIRAN 11 CO  11.51666 -72.91666 
SKRG RIONEGRO/JOSE_MA 2132 CO  6.16666 -75.41666 
SKSP SAN_ANDRES_ISLAN 6 CO  12.58333 -81.71666 
SKSJ SAN_JOSE_GUAVIAR 155 CO  2.56666 -72.61666 
SKSM SANTA_MARTA/SIMO 5 CO  11.11666 -74.21666 
SKSV SAN_VINCENTE_DEL 280 CO  2.15 -74.76666 
SKSA SARAVENA/COLONIZ 207 CO  6.95 -71.86666 
SKTM TAME 361 CO  6.45 -71.75 
SKTD TRINIDAD 217 CO  5.41666 -71.65 
SKUL TULUA/FARFAN 955 CO  4.08333 -76.21666 
SKCO TUMACO/LA_FLORID 6 CO  1.81666 -78.75 
SKTU TURBO/GONZALO_ME 5 CO  8.11666 -76.71666 
SKVP VALLEDUPAR/ALFON 137 CO  10.43333 -73.25 
SKVV VILLAVICENCIO/VA 421 CO  4.16666 -73.61666 
SKYP YOPAL/EL_ALCARAV 312 CO  5.31666 -72.38333 
SVBC BARCELONA/GEN_JO 7 VE  10.11666 -64.68333 
SVBI BARINAS 185 VE  8.61666 -70.21666 
SVBM BARQUISIMETO_MI 624 VE  10.05 -69.36666 
SVCL CALABOZO 117 VE  8.91666 -67.41666 
SVCN CANAIMA_ARPT 402 VE  6.23333 -62.85 
SVFM CARACAS/LA_CARLO 852 VE  10.48333 -66.83333 
SVCS CARACAS/OSCAR_MA 656 VE  10.3 -66.81666 
SVMI CARACAS/S._BOLIV 48 VE  10.6 -67 
